,172.18.176.1,192.168.84.14,10.0.81.130,10.81.102.88,10.81.85.22,62.53.206.66,62.53.8.133,80.255.14.194,80.255.15.126,213.239.252.73,213.239.254.61,213.239.228.10,213.239.228.62,65.108.117.172,65.108.94.222,10.0.81.131,10.81.102.94,62.53.6.189,62.53.6.127,62.53.2.151,62.53.28.169,176.52.252.32,94.144.107.49,129.250.2.8,129.250.6.65,116.51.31.51,5.223.0.82,5.223.8.141,5.223.62.210,10.81.102.90,62.53.4.160,62.53.0.149,62.53.28.149,62.53.8.187,176.52.252.28,94.142.107.201,195.219.50.75,80.231.245.40,80.231.245.12,80.231.154.27,195.219.213.129,66.110.28.12,66.110.28.15,5.78.0.86,5.78.8.250,5.78.98.32,192.168.0.1,83.169.183.70,88.134.202.217,145.254.3.102,145.254.2.209,213.133.121.193,213.239.252.9,213.239.224.150,145.254.2.181,195.2.5.13,195.2.18.182,62.115.174.154,62.115.114.90,62.115.136.251,62.115.122.26,62.115.136.199,62.115.170.55,5.223.0.78,62.115.141.148,62.115.123.13,62.115.135.24,62.115.139.244,62.115.115.76,62.115.139.107,62.115.115.25,62.115.112.45,80.239.132.89,5.78.0.82
62.53.8.187,24.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.024000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.52.252.28,27.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.024000000000001,,20.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.142.107.201,48.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.813,,100.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.219.50.75,148.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.352,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.231.245.40,148.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,17.970000000000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.231.245.12,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.970000000000056,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.231.154.27,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.219.213.129,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.110.28.12,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.110.28.15,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.78.0.86,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.78.8.250,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4569999999999936
5.78.98.32,166.64000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.168.0.1,5.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3690000000000015,,,,,,,,,,,,,,,,,,,,,,,,,,
83.169.183.70,12.446000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3690000000000015,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
88.134.202.217,14.193999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
145.254.3.102,14.193999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.59,,,,0.0,,,,,,,,,,,,,,,,,,,
145.254.2.209,18.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,,0.0,,,,,,,,,,,,,,,,,,,,,,
213.133.121.193,18.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.2750000000000021,,,,,,,,,,,,,,,,,,,,,
213.239.252.9,20.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2750000000000021,,16.266999999999992,,,,,,,,,,,,,,,,,,,,
213.239.224.150,36.32599999999999,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.266999999999992,,,,,,,,,,,,,,,,,,,,,
145.254.2.181,14.408999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
195.2.5.13,14.408999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.869,,,,,,,,,,,,,,,,,
195.2.18.182,19.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.869,,0.0,,,,,,,,,,,,,,,,
62.115.174.154,19.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,
62.115.114.90,19.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,18.734,,,,,,,,,,,,,,
62.115.136.251,38.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.734,,151.48499999999999,,,,,,,,,,,,,
62.115.122.26,189.67399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.48499999999999,,0.0,,,,,,,,,,,,
62.115.136.199,189.67399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
62.115.170.55,189.67399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.1740000000000066,,,,,,,,,,
5.223.0.78,191.84799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1740000000000066,,,,,,,,,,,
62.115.141.148,22.016000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,6.658999999999999,,,,,,,,
62.115.123.13,28.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.658999999999999,,7.2669999999999995,,,,,,,
62.115.135.24,35.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2669999999999995,,60.75599999999999,,,,,,
62.115.139.244,96.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.75599999999999,,70.61800000000001,,,,,
62.115.115.76,167.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.61800000000001,,0.0,,,,
62.115.139.107,167.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,9.341000000000008,,,
62.115.115.25,176.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.341000000000008,,0.0,,
62.115.112.45,176.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
80.239.132.89,176.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
5.78.0.82,176.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4569999999999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
