IP_address,ASN,latitude,longitude,city,region,country,org
65.21.159.62,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
88.99.70.182,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
94.130.237.125,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
168.119.190.142,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.217.208.141,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
65.21.122.124,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
5.161.48.241,AS213230,39.0437,-77.4875,Ashburn,Virginia,US,AS213230 Hetzner Online GmbH
135.181.46.147,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.216.230.103,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.71.194,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
65.21.123.52,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
5.161.67.136,AS213230,39.0437,-77.4875,Ashburn,Virginia,US,AS213230 Hetzner Online GmbH
49.12.79.219,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
65.108.96.171,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
65.108.120.11,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
94.130.109.189,AS24940,49.4542,11.0775,Nürnberg,Bavaria,DE,AS24940 Hetzner Online GmbH
95.216.255.66,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
162.55.135.106,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
5.9.17.150,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
94.130.242.196,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.216.192.94,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.216.109.145,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.216.230.120,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.235.54,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.216.109.133,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
162.55.244.112,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
162.55.93.36,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
176.9.66.94,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.217.48.105,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.11.18,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
142.132.144.171,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
136.243.42.112,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
168.119.212.145,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.217.201.248,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
5.9.57.12,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
176.9.8.76,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
142.132.194.61,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
